CODIGO INMUEBLE;ESTADO;NOMBRE SEDE;DIRECCIÓN SEDE;TELÉFONO FIJO;TELÉFONO MÓVIL;POBLACIÓN;PROVINCIA;ACTIVIDAD;AMBITO;ÁREA;"ENLACE PRAL
AMT 2012";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2012";"ADM
BACKUP";BW BACKUP;"ENLACE PRAL
AMT 2018";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2018";"ADM
BACKUP";BW BACKUP;MIGRACIÓN;CODIGO HOSTNAME;AMBITO;NEMONICO;CRITICIDAD SERVICIO;DISP.;CARPETA;MON.;DOC.;ESQ.
1;ALTA;Edif. Plaza de los Sitios;Plaza de los Sitios nº 7;976715932;0;Zaragoza;Zaragoza;Edif. Plaza de los Sitios;ADMINISTRACIÓN;ZARAGOZA;FIBRA;50190001233966 ;100 Mb;4Mb / 640Kb (50%);"50190003354070
976223508";ADSL;FTTH;"50190003396114
876549326";Futura 100/100;;;;Instalada;ZAZAR0001SIT;A;SIT;ESTANDAR;24x7;"""ZAZAR0001 - Edif. Plaza de los Sitios [Zaragoza]""";mon;doc;esq
2;ALTA;Edif. Pignatelli;Paseo Maria Agustin nº 36;976714000;0;Zaragoza;Zaragoza;Edif. Pignatelli;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;ZAZAR0002PIG;A;PIG;CRITICO;24x7;"""ZAZAR0002 - Edif. Pignatelli [Zaragoza]""";mon;doc;esq
3;ALTA;Edif. Ricardo del Arco - Huesca;C/ Ricardo del Arco nº 6;974293030;0;Huesca;Huesca;Edif. Ricardo del Arco;ADMINISTRACIÓN;HUESCA;;;;;;;;;;;;;;HAHUE0003ARC;A;ARC;ESTANDAR;12X5;"""HAHUE0003 - Edif. Ricardo del Arco [Huesca]""";mon;doc;esq
4;ALTA;Padre Marcellan, 15, Bajo;C/ Padre Marcellan 15, bajo;974293000;0;Zaragoza;Zaragoza;Padre Marcellan, 15, Bajo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0004-;-;-;;;;mon;doc;esq
6;ALTA;CS Mental Crp Ntra Sra Del Pilar - Pabellon 5;C/ Monasterio de Ntra. Sª de los Angeles s/n, bajos;976341500; 650581695 / 710332 Resp. Mantenimiento;Zaragoza;Zaragoza;CS Mental Crp Ntra Sra Del Pilar - Pabellon 5;SALUD;SEC. ZARAGOZA III;SDWAN;978865549 ;VDSL 2 - TIPO H3 - Igual o mayor a 30Mbps asimétrico;;;;;;;;;;;ZSZAR0006SAL;S;SAL;ESTANDAR;24x7;"""ZSZAR0006 - CS Mental Crp Ntra Sra Del Pilar - Pabellon 5 [Zaragoza]""";mon;doc;esq
7;ALTA;Instituto Tecnologico de Aragon (ITA);C/ Maria de Luna 7;0;0;Zaragoza;Zaragoza;Instituto Tecnologico de Aragon (ITA);EXTERNO;RIA;;;;;;;;;;;;;;Z-ZAR0007-;-;-;;;;mon;doc;esq
8;ALTA;INAEM Servicios Centrales / C.T.A.;Avda. Alcalde Sainz de Varanda, 15;976713614;0;Zaragoza;Zaragoza;INAEM Serv. Centrales / CTA;EMPLEO;ZARAGOZA;FIBRA;50190001233975 ;100 Mb;;;;FIBRA;;1 Gb;;;;Instalada;ZEZAR0008INA;E;INA;ESTANDAR;12X5;"""ZEZAR0008 - INAEM Serv. Centrales / CTA [Zaragoza]""";mon;doc;esq
9;ALTA;Escuela Insignia de Madera de Aragon;C/ La Coruña 46, bajos;379549;0;Zaragoza;Zaragoza;La Coruña 46, Bajos;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0009-;-;-;;;;mon;doc;esq
10;ALTA;Glorieta de Pio Xii s/n, Bajo (Murallas Romanas);Glorieta de Pio Xii s/n, bajo (Murallas Romanas);393537;0;Zaragoza;Zaragoza;Glorieta de Pio Xii s/n, Bajo (Murallas Romanas);ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0010-;-;-;;;;mon;doc;esq
11;ALTA;G Garcia Arista 6-8, 50-Izda;C/ Gregorio Garcia Arista 6-8, 50-Izda;521319;0;Zaragoza;Zaragoza;G Garcia Arista 6-8, 50-Izda;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0011-;-;-;;;;mon;doc;esq
12;ALTA;Pº Constitucion, 12 6ª;C/ Fray Luis Amigo 4, Pral-A;0;0;Zaragoza;Zaragoza;Pº Constitucion, 12 6ª;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0012-;-;-;;;;mon;doc;esq
13;ALTA;Instituto Aragones de la Juventud;C/ Franco y Lopez 4-16, bajos (G);976716810;0;Zaragoza;Zaragoza;Instituto Aragones de la Juventud;ADMINISTRACIÓN;ZARAGOZA;FIBRA;50190001233906 ;100 Mb;;;;FIBRA;;1 Gb;;;;Instalada;ZAZAR0013IAJ;A;IAJ;ESTANDAR;12X5;"""ZAZAR0013 - Instituto Aragones de la Juventud [Zaragoza]""";mon;doc;esq
14;ALTA;Unid. Salud Mental Delicias;C/ Escultor Palao 36, bajos;976320103;0;Zaragoza;Zaragoza;Unidad Salud Mental Delicias;SALUD;SEC. ZARAGOZA III;VPN-IP (FTTH);-;SIN INFO;;;;VPN IP (FTTH);"50190003368845
876286223";Futura 100/100;;;;Instalada;ZSZAR0014CSM;S;CSM;ESTANDAR;12X5;"""ZSZAR0014 - Unidad Salud Mental Delicias [Zaragoza]""";mon;doc;esq
15;ALTA;Hospital Psiquiatrico Ntra. Sra. del Pilar;Avda. Duquesa Villahermosa, 66-68;976331500;"639079781 / 712000; 650581695 / 710332 Resp. Mantenimiento";Zaragoza;Zaragoza;Hospital Psiq. Ntra. Sra. del Pilar;SALUD;SEC. ZARAGOZA III;FIBRA;50190001228902 ;100 Mb;F.O. Transporte Transparente;50190001228901 ;100 Mb;FIBRA;50190001228901 ;1 Gb;ADSL Provisional actual;50190001228901 ;"Provisional actual
20M/800K como máximo";;ZSZAR0015NSP;S;NSP;ESTANDAR;24x7;"""ZSZAR0015 - Hospital Psiq. Ntra. Sra. del Pilar [Zaragoza]""";mon;doc;esq
16;ALTA;Archivo Historico Provincial Zaragoza;C/ Dormer (Diego Jose) 6, bajos;976397566;0;Zaragoza;Zaragoza;Archivo Historico;ADMINISTRACIÓN;ZARAGOZA;SDWAN;976671816 ;ADSL 2+ - TIPO H3 - Igual o mayor a 30Mbps asimétrico;;;;;;;;;;;ZAZAR0016ARC;A;ARC;ESTANDAR;12X5;"""ZAZAR0016 - Archivo Historico [Zaragoza]""";mon;doc;esq
17;ALTA;Laborat. Sanidad y Prod. Animal;C/ Doctor Iranzo 6, bajos;0;0;Zaragoza;Zaragoza;Laborat. Sanidad y Prod. Animal;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0017-;-;-;;;;mon;doc;esq
18;ALTA;Biblioteca de Aragon;C/ Doctor Cerrada 22, bajos;976715046;0;Zaragoza;Zaragoza;Biblioteca;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;ZAZAR0018BIB;A;BIB;ESTANDAR;12X6;"""ZAZAR0018 - Biblioteca [Zaragoza]""";mon;doc;esq
19;ALTA;Conde Aranda 32-36, 4-A;C/ Conde Aranda 32-36, 4-A;283700;0;Zaragoza;Zaragoza;Conde Aranda 32-36, 4-A;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0019-;-;-;;;;mon;doc;esq
20;ALTA;Camino Juslibol 19, Bajo;Camino Juslibol 19, bajo;514240;0;Zaragoza;Zaragoza;Camino Juslibol 19, Bajo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0020-;-;-;;;;mon;doc;esq
21;ALTA;Residencia Infanta Isabel;Ctra. de Madrid Km 316, bajos;No publico 976332701 / 976329896;0;Zaragoza;Zaragoza;"Residencia ""Infanta Isabel""";ADMINISTRACIÓN;ZARAGOZA;SDWAN;976877803 ;FTTH - TIPO H9 - 300Mbps simétrico;;;;;;;;;;;ZAZAR0021RES;A;RES;ESTANDAR;24x7;"""ZAZAR0021 - Residencia ""Infanta Isabel"" [Zaragoza]""";mon;doc;esq
22;ALTA;Centro de Menores Juan de Lanuza;Ctra. de Madrid s/n, bajos (Alto Carabinas-Chalet);No publico 976332840;0;Zaragoza;Zaragoza;Centro de Menores Juan de Lanuza;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0022-;-;-;ESTANDAR;12X5;;mon;doc;esq
23;ALTA;Guarderia Immaculada Concepcion;Ctra. de Madrid s/n, bajo (Guard Inm Concepcion);332078;0;Zaragoza;Zaragoza;Guarderia Immaculada Concepcion;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0023-;-;-;;;;mon;doc;esq
24;ALTA;Casa Tutelar El Buen Pastor;Ctra. de Madrid Km 316, bajo (Casa Tut B Pastor); No publico 976335223;0;Zaragoza;Zaragoza;Casa Tutelar El Buen Pastor;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-ZAR0024-;-;-;ESTANDAR;12X5;;mon;doc;esq
