slug,name,parent
abiego,Abiego,Provincia Huesca
acered,Acered,Provincia Huesca
adahuesca,Adahuesca,Provincia Zaragoza
aguaron,Aguarón,Provincia Huesca
aguaviva,Aguaviva,Provincia Zaragoza
aineto,Aineto,Provincia Teruel
ainsa,Ainsa,Provincia Huesca
ainsa-sobrarbe,Aínsa-Sobrarbe,Provincia Huesca
ainzon,Ainzón,Provincia Huesca
alacon,Alacón,Provincia Huesca
alagon,Alagón,Provincia Huesca
alba-del-campo,Alba Del Campo,Provincia Zaragoza
albalate-de-cinca,Albalate De Cinca,Provincia Zaragoza
albalate-del-arzobispo,Albalate Del Arzobispo,Provincia Zaragoza
albalatillo,Albalatillo,Provincia Zaragoza
albarracin,Albarracín,Provincia Zaragoza
albelda,Albelda,Provincia Zaragoza
albentosa,Albentosa,Provincia Zaragoza
alcala-de-ebro,Alcalá De Ebro,Provincia Zaragoza
alcala-de-la-selva,Alcalá De La Selva,Provincia Teruel
alcaniz,Alcañiz,Provincia Huesca
alcorisa,Alcorisa,Provincia Huesca
alcampell,Alcampell,Provincia Zaragoza
alcubierre,Alcubierre,Provincia Teruel
monzon,Monzón,Provincia Zaragoza
alcolea-de-cinca,Alcolea De Cinca,Provincia Zaragoza
alera,Alera,Provincia Teruel
alfajarin,Alfajarín,Provincia Huesca
alfamen,Alfamén,Provincia Teruel
algayon,Algayón,Provincia Teruel
alfambra,Alfambra,Provincia Zaragoza
alhama-de-aragon,Alhama De Aragón,Provincia Teruel
aliaga,Aliaga,Provincia Teruel
allepuz,Allepuz,Provincia Teruel
allepuz,Allepuz ,Provincia Teruel
alloza,Alloza,Provincia Teruel
almolda-la,Almolda (La),Provincia Teruel
almonacid-de-la-cuba,Almonacid De La Cuba,Provincia Teruel
almonacid-de-la-sierra,Almonacid De La Sierra,Provincia Teruel
almudevar,Almudevar,Provincia Teruel
almudevar,Almudévar,Provincia Teruel
almunia-de-dona-godina-la,Almunia De Doña Godina (La),Provincia Teruel
almunia-de-san-juan,Almunia De San Juan,Provincia Teruel
alpartir,Alpartir,Provincia Zaragoza
alquezar,Alquézar,Provincia Teruel
altorricon,Altorricón,Provincia Huesca
ambel,Ambel,Provincia Teruel
andorra,Andorra,Provincia Teruel
andorra,Andorra ,Provincia Teruel
angues,Angüés,Provincia Teruel
aninon,Aniñón,Provincia Teruel
anso,Ansó,Provincia Teruel
anon-de-moncayo,Añón De Moncayo,Provincia Teruel
aragues-del-puerto,Aragues Del Puerto,Provincia Teruel
aranda-de-moncayo,Aranda De Moncayo,Provincia Teruel
arandiga,Arándiga,Provincia Teruel
arcos-de-las-salinas,Arcos De Las Salinas,Provincia Teruel
aren,Arén,Provincia Teruel
arens-de-lledo,Arens De Lledó,Provincia Teruel
argente,Argente,Provincia Teruel
arguis,Arguis,Provincia Teruel
arino,Ariño,Provincia Teruel
ariza,Ariza,Provincia Teruel
atea,Atea,Provincia Teruel
ateca,Ateca,Provincia Teruel
ayerbe,Ayerbe,Provincia Teruel
azaila,Azaila,Provincia Teruel
azanuy,Azanuy,Provincia Teruel
azara,Azara,Provincia Teruel
azuara,Azuara,Provincia Teruel
bailo,Bailo,Provincia Teruel
bailo,Bailo ,Provincia Teruel
ballobar,Ballobar,Provincia Teruel
baguena,Baguena,Provincia Huesca
barbastro,Barbastro,Provincia Teruel
barboles,Bárboles,Provincia Teruel
bardallur,Bardallur,Provincia Teruel
bardena-del-caudillo,Bárdena Del Caudillo,Provincia Teruel
barrachina,Barrachina,Provincia Teruel
barriada-obrera-del-sur,Barriada Obrera Del Sur,Provincia Teruel
bayo-el,Bayo (El),Provincia Teruel
beceite,Beceite,Provincia Teruel
belchite,Belchite,Provincia Teruel
bello,Bello,Provincia Huesca
belver-de-cinca,Belver De Cinca,Provincia Huesca
benabarre,Benabarre,Provincia Teruel
benasque,Benasque,Provincia Teruel
berbegal,Berbegal,Provincia Teruel
berdun,Berdún,Provincia Teruel
berge,Berge,Provincia Teruel
bescos-de-garcipollera,Bescos De Garcipollera,Provincia Teruel
bezas,Bezas,Provincia Teruel
bielsa,Bielsa,Provincia Teruel
bierge,Bierge,Provincia Teruel
biescas,Biescas,Provincia Huesca
binaced,Binaced,Provincia Zaragoza
binefar,Binéfar,Provincia Zaragoza
biota,Biota,Provincia Zaragoza
blancas,Blancas,Provincia Zaragoza
bolea,Bolea,Provincia Zaragoza
boltana,Boltaña,Provincia Teruel
boquineni,Boquiñeni,Provincia Teruel
bordon,Bordón,Provincia Teruel
borja,Borja,Provincia Teruel
botorrita,Botorrita,Provincia Teruel
brea-de-aragon,Brea De Aragón,Provincia Teruel
bronchales,Bronchales,Provincia Zaragoza
broto,Broto,Provincia Huesca
bruselas,Bruselas,Provincia Zaragoza
bubal,Bubal,Provincia Zaragoza
bujaraloz,Bujaraloz,Provincia Teruel
bureta,Bureta,Provincia Teruel
burgo-de-ebro-el,Burgo De Ebro (El),Provincia Teruel
cabanas-de-ebro,Cabañas De Ebro,Provincia Teruel
cadrete,Cadrete,Provincia Teruel
calaceite,Calaceite,Provincia Teruel
calamocha,Calamocha,Provincia Teruel
calanda,Calanda,Provincia Teruel
calatayud,Calatayud,Provincia Zaragoza
calatorao,Calatorao,Provincia Zaragoza
caldearenas,Caldearenas,Provincia Zaragoza
camanas,Camañas,Provincia Huesca
camarena-de-la-sierra,Camarena De La Sierra,Provincia Huesca
camarillas,Camarillas,Provincia Huesca
caminreal,Caminreal,Provincia Huesca
campillo-de-aragon,Campillo De Aragón,Provincia Huesca
campo,Campo,Provincia Huesca
candasnos,Candasnos,Provincia Zaragoza
canfranc,Canfranc,Provincia Zaragoza
canfranc-estacion,Canfranc Estación,Provincia Zaragoza
cantavieja,Cantavieja,Provincia Zaragoza
canada-de-verich-la,Cañada De Verich (La),Provincia Zaragoza
canizar-del-olivar,Cañizar Del Olivar,Provincia Zaragoza
capella,Capella,Provincia Zaragoza
carenas,Carenas,Provincia Zaragoza
carinena,Cariñena,Provincia Zaragoza
cartuja-baja,Cartuja Baja,Provincia Zaragoza
cartuja-de-monegros-la,Cartuja De Monegros (La),Provincia Zaragoza
casetas,Casetas,Provincia Zaragoza
caspe,Caspe,Provincia Zaragoza
castejon-de-monegros,Castejón De Monegros,Provincia Zaragoza
castejon-de-valdejasa,Castejón De Valdejasa,Provincia Zaragoza
castejon-del-puente,Castejón Del Puente,Provincia Huesca
castel-de-cabra,Castel De Cabra,Provincia Zaragoza
castellote,Castellote,Provincia Huesca
castelseras,Castelserás,Provincia Huesca
castejon-de-sos,Castejón De Sos,Provincia Teruel
castigaleu,Castigaleu,Provincia Zaragoza
castiliscar,Castiliscar,Provincia Teruel
castillazuelo,Castillazuelo,Provincia Teruel
castillonroy,Castillonroy,Provincia Teruel
caude,Caude,Provincia Teruel
cedrillas,Cedrillas,Provincia Teruel
celadas,Celadas,Provincia Teruel
cella,Cella,Provincia Teruel
cerezos-los,Cerezos (Los),Provincia Teruel
cerler,Cerler,Provincia Teruel
cerollera-la,Cerollera (La),Provincia Teruel
cervera-de-la-canada,Cervera De La Cañada,Provincia Teruel
cetina,Cetina,Provincia Teruel
chalamera,Chalamera,Provincia Teruel
chimillas,Chimillas,Provincia Teruel
chiprana,Chiprana,Provincia Huesca
codonera-la,Codoñera (La),Provincia Huesca
codos,Codos,Provincia Zaragoza
conchel,Conchel,Provincia Huesca
cosuenda,Cosuenda,Provincia Huesca
cretas,Cretas,Provincia Huesca
crivillen,Crivillén,Provincia Huesca
cuarte-de-huerva,Cuarte De Huerva,Provincia Zaragoza
cubel,Cubel,Provincia Zaragoza
cuevas-de-almuden,Cuevas De Almudén,Provincia Huesca
cuevas-de-canart,Cuevas De Cañart,Provincia Huesca
curbe,Curbe,Provincia Zaragoza
cutanda,Cutanda,Provincia Zaragoza
daroca,Daroca,Provincia Teruel
ejea-de-los-caballeros,Ejea De Los Caballeros,Provincia Huesca
ejulve,Ejulve,Provincia Teruel
encinacorba,Encinacorba,Provincia Huesca
epila,Épila,Provincia Huesca
erla,Erla,Provincia Teruel
escalona,Escalona,Provincia Teruel
escarrilla,Escarrilla,Provincia Zaragoza
escatron,Escatrón,Provincia Zaragoza
escorihuela,Escorihuela,Provincia Zaragoza
escucha,Escucha,Provincia Zaragoza
escuer,Escuer,Provincia Zaragoza
esplus,Esplús,Provincia Zaragoza
estada,Estada,Provincia Zaragoza
estadilla,Estadilla,Provincia Zaragoza
estercuel,Estercuel,Provincia Zaragoza
estiche-de-cinca,Estiche De Cinca,Provincia Huesca
estopinan-del-castillo,Estopiñán Del Castillo,Provincia Huesca
fabara,Fabara,Provincia Huesca
fananas,Fañanas,Provincia Huesca
farlete,Farlete,Provincia Teruel
fayon,Fayón,Provincia Teruel
