Codigo-N;DIRECCION;ACTIVIDAD - Nombre Sede Nuevo;Ambito;TELEFONO Principal;Respaldo Movil / NGN/ RDSI Local;POBLACION;PROVINCIA;NIF;DISTRITO POSTAL;DISTRITO TARIFICACION;TIPO CONEXIÓN;SERVICIOS Prestados;ESTADO julio 2018;CRITICIDAD;Horario Servicio;Contacto Centro Fijo;Conatcto Centro Móvil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0576;Plaza Mayor, 1;Centro Salud Abiego;Salud;974317212;974263636;Abiego;Huesca;;;;;L, V, D;activo;ES. REMOTO;24x7;974317316 Supervivencia;620204080 / 720007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2814;Plaza la Iglesia 6;C.R.A. Vero-Alcanadre - Abiego;C. Educa.;974317233;;Acered;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2613;C/ Afueras s/n;C.R.A. Cerro de Santa Cruz - Acered;C. Educa.;;;Adahuesca;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2812;Avda. de Santiago Foncillas s/n;C.R.A. Vero-Alcanadre - Adahuesca;C. Educa.;974318297;;Aguarón;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2678;Ctra. de Cariñena s/n;C.R.A. la Cepa - Aguarón;C. Educa.;976620467;;Aguaviva;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2279;Avda. de la Fuente s/n;C.R.A. de Castellote - Aguaviva;C. Educa.;978848757;;Aineto;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2753;C/ Única s/n;C.E.I.P. Valle del Guarga - Aineto;C. Educa.;974337950;;Ainsa;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0067;Avda. de Ordesa;Parque de Maquinaria Ainsa;Admon.;974500022;;Aínsa-Sobrarbe;Huesca;LS5011001D;22330;2261;;;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0577;C/ Oredesa, s/n;Centro Salud Aínsa;Salud;974500030;974263637;Ainzón;Huesca;;;;;L, V, D;activo;ES. REMOTO;24x7;;608031107 / 720039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;C/ Lucien Briet s/n;I.E.S. Sobrarbe - Aínsa-Sobrarbe;C. Educa.;974500056;;Alacón;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
